"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7030","should show validation errors for unchecked terms","chromium-en","Wed May 07 13:58:15 UTC 2025","passed","Wed May 07 13:58:23 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","0","should submit form successfully with all fields","chromium-fr","Wed May 07 14:00:26 UTC 2025","skipped","Wed May 07 14:00:26 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","12255","Contact page response within 1s","chromium-fr","Wed May 07 14:01:09 UTC 2025","failed","Wed May 07 14:01:21 UTC 2025","Contact Form Tests","performance/contact.performance.spec.ts","",""
"","5799","should show validation errors for missing required fields","chromium-ro","Wed May 07 13:59:04 UTC 2025","passed","Wed May 07 13:59:10 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","0","should submit form successfully without optional fields","chromium-ro","Wed May 07 13:59:03 UTC 2025","skipped","Wed May 07 13:59:03 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","6193","should display correct language content","chromium-ro","Wed May 07 13:58:29 UTC 2025","passed","Wed May 07 13:58:35 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","3111","should display correct Navigation Bar Fields","chromium-en","Wed May 07 13:58:23 UTC 2025","passed","Wed May 07 13:58:26 UTC 2025","Contact Form Tests","e2e/home/home.spec.ts","",""
"","6036","should display correct language content","chromium-fr","Wed May 07 13:59:49 UTC 2025","failed","Wed May 07 13:59:55 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","5258","should display correct headers","chromium-ro","Wed May 07 13:58:35 UTC 2025","passed","Wed May 07 13:58:40 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","11429","should display correct placeholder content","chromium-en","Wed May 07 13:57:57 UTC 2025","failed","Wed May 07 13:58:09 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","4073","should display correct Navigation Bar Fields","chromium-ro","Wed May 07 13:59:21 UTC 2025","failed","Wed May 07 13:59:25 UTC 2025","Contact Form Tests","e2e/home/home.spec.ts","",""
"","11136","should display correct placeholder content","chromium-ro","Wed May 07 13:58:52 UTC 2025","failed","Wed May 07 13:59:03 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","5712","should display correct headers","chromium-fr","Wed May 07 14:00:02 UTC 2025","failed","Wed May 07 14:00:08 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","2940","Contact page response within 1s","chromium-ro","Wed May 07 13:59:39 UTC 2025","passed","Wed May 07 13:59:42 UTC 2025","Contact Form Tests","performance/contact.performance.spec.ts","",""
"","8044","should display correct placeholder content","chromium-fr","Wed May 07 14:00:17 UTC 2025","failed","Wed May 07 14:00:25 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","0","should submit form successfully with all fields","chromium-ro","Wed May 07 13:59:03 UTC 2025","skipped","Wed May 07 13:59:03 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","0","should submit form successfully with all fields","chromium-en","Wed May 07 13:58:09 UTC 2025","skipped","Wed May 07 13:58:09 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","0","should submit form successfully without optional fields","chromium-fr","Wed May 07 14:00:26 UTC 2025","skipped","Wed May 07 14:00:26 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","6218","should show validation errors for missing required fields","chromium-fr","Wed May 07 14:00:33 UTC 2025","failed","Wed May 07 14:00:39 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","6985","should display correct language content","chromium-en","Wed May 07 13:57:31 UTC 2025","passed","Wed May 07 13:57:38 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","5410","should show validation errors for missing required fields","chromium-en","Wed May 07 13:58:10 UTC 2025","passed","Wed May 07 13:58:15 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","5408","should display correct headers","chromium-en","Wed May 07 13:57:40 UTC 2025","passed","Wed May 07 13:57:45 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","6562","should show validation errors for unchecked terms","chromium-fr","Wed May 07 14:00:40 UTC 2025","passed","Wed May 07 14:00:46 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","4280","should display correct Navigation Bar Fields","chromium-fr","Wed May 07 14:00:50 UTC 2025","failed","Wed May 07 14:00:55 UTC 2025","Contact Form Tests","e2e/home/home.spec.ts","",""
"","7306","should show validation errors for unchecked terms","chromium-ro","Wed May 07 13:59:10 UTC 2025","passed","Wed May 07 13:59:17 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","0","should submit form successfully without optional fields","chromium-en","Wed May 07 13:58:09 UTC 2025","skipped","Wed May 07 13:58:09 UTC 2025","Contact Form Tests","e2e/contact/contact-form.spec.ts","",""
"","2622","Contact page response within 1s","chromium-en","Wed May 07 13:58:26 UTC 2025","passed","Wed May 07 13:58:28 UTC 2025","Contact Form Tests","performance/contact.performance.spec.ts","",""
